Order ID,Order Date,Customer Name,Category,Sub Category,Region,State,City,Sales,Discount,Profit
OD41,27/12/2016,Malik,Beverages,Health Drinks,Central,Tamil Nadu,Namakkal,660,0.19,92.4
OD42,09/10/2018,Arutra,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,1868,0.18,616.44
OD43,17/07/2017,Sharon,Snacks,Cookies,West,Tamil Nadu,Bodi,1017,0.25,345.78
OD44,19/09/2018,Mathew,Snacks,Cookies,South,Tamil Nadu,Dharmapuri,2311,0.2,1039.95
OD45,03/11/2017,Amrish,Bakery,Biscuits,Central,Tamil Nadu,Krishnagiri,1663,0.17,731.72
OD46,03/11/2017,Vince,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Madurai,1420,0.19,355
OD47,20/10/2015,Suresh,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Nagercoil,1415,0.31,509.4
OD48,20/06/2017,Mathew,Snacks,Noodles,East,Tamil Nadu,Chennai,1488,0.3,610.08
OD49,20/06/2017,Ridhesh,Snacks,Noodles,East,Tamil Nadu,Pudukottai,726,0.18,43.56
OD50,18/04/2016,Amrish,Bakery,Cakes,Central,Tamil Nadu,Ooty,1259,0.15,415.47
OD51,18/04/2016,Esther,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,902,0.29,153.34
OD52,18/04/2016,Shah,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,2306,0.3,553.44
OD53,18/04/2016,Sudha,Bakery,Cakes,Central,Tamil Nadu,Theni,1417,0.19,99.19
OD54,12/11/2017,Yusuf,Fruits & Veggies,Fresh Vegetables,East,Tamil Nadu,Madurai,627,0.33,181.83
OD55,12/11/2017,Esther,Fruits & Veggies,Organic Fruits,East,Tamil Nadu,Nagercoil,760,0.28,60.8
OD56,17/06/2017,Muneer,Food Grains,Atta & Flour,East,Tamil Nadu,Salem,2350,0.15,611
OD57,17/06/2017,Komal,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Krishnagiri,1179,0.34,271.17
OD58,17/06/2017,Veena,Food Grains,Dals & Pulses,East,Tamil Nadu,Trichy,1624,0.35,194.88
OD59,17/06/2017,Sharon,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Trichy,1316,0.35,421.12
OD60,17/06/2017,Shree,Beverages,Health Drinks,East,Tamil Nadu,Coimbatore,2121,0.12,678.72
OD61,17/06/2017,Roshan,Oil & Masala,Masalas,East,Tamil Nadu,Virudhunagar,1428,0.28,271.32
OD62,17/06/2017,Willams,Snacks,Noodles,East,Tamil Nadu,Perambalur,706,0.33,289.46
OD63,24/11/2016,Sudeep,"Eggs, Meat & Fish",Fish,West,Tamil Nadu,Dharmapuri,921,0.25,184.2
OD64,24/11/2016,Yusuf,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Trichy,1741,0.31,661.58
OD65,24/11/2016,Willams,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Madurai,607,0.22,200.31
OD66,24/11/2016,Muneer,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Tirunelveli,1824,0.25,766.08
OD67,30/04/2016,Vinne,Food Grains,Atta & Flour,Central,Tamil Nadu,Madurai,1368,0.11,383.04
OD68,12/05/2015,Roshan,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Pudukottai,1160,0.16,510.4
OD69,12/05/2015,Ramesh,Food Grains,Atta & Flour,West,Tamil Nadu,Viluppuram,1294,0.23,77.64
OD70,06/04/2017,Peer,Oil & Masala,Masalas,South,Tamil Nadu,Ooty,1232,0.14,554.4
OD71,18/09/2015,Verma,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Kanyakumari,994,0.31,357.84
OD72,14/09/2018,Yusuf,Snacks,Noodles,Central,Tamil Nadu,Kanyakumari,2468,0.18,1011.88
OD73,26/04/2016,Alan,Snacks,Cookies,South,Tamil Nadu,Theni,721,0.27,100.94
OD74,26/04/2016,Vidya,Fruits & Veggies,Organic Vegetables,South,Tamil Nadu,Vellore,2375,0.21,475
OD75,26/04/2016,Arvind,Beverages,Soft Drinks,South,Tamil Nadu,Vellore,1965,0.13,117.9
OD76,12/09/2018,Veronica,Beverages,Soft Drinks,Central,Tamil Nadu,Bodi,1489,0.12,193.57
OD77,12/09/2018,Arvind,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Ooty,1250,0.27,75
OD78,12/09/2018,Anu,Snacks,Noodles,Central,Tamil Nadu,Coimbatore,1358,0.31,488.88
OD79,26/11/2015,Haseena,Snacks,Cookies,Central,Tamil Nadu,Vellore,719,0.2,64.71
OD80,06/12/2017,Veena,Fruits & Veggies,Organic Fruits,South,Tamil Nadu,Chennai,2303,0.26,621.81
OD81,06/12/2017,Kumar,Beverages,Health Drinks,South,Tamil Nadu,Kanyakumari,2027,0.34,912.15
OD82,10/12/2015,Amy,Food Grains,Atta & Flour,West,Tamil Nadu,Bodi,1739,0.29,765.16
OD83,10/12/2015,Komal,Oil & Masala,Spices,West,Tamil Nadu,Cumbum,990,0.26,227.7
OD84,09/03/2016,Ravi,Beverages,Soft Drinks,South,Tamil Nadu,Dharmapuri,2354,0.11,682.66
OD85,13/11/2018,Amy,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Bodi,1044,0.1,344.52
OD86,28/05/2018,Willams,Oil & Masala,Spices,South,Tamil Nadu,Dindigul,2129,0.25,659.99
OD87,26/10/2018,Sharon,Food Grains,Rice,Central,Tamil Nadu,Theni,1759,0.1,615.65
OD88,26/10/2018,Ramesh,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Viluppuram,1663,0.26,665.2
OD89,04/05/2017,Sheeba,Bakery,Breads & Buns,Central,Tamil Nadu,Perambalur,2111,0.21,189.99
OD90,17/09/2017,Krithika,Food Grains,Dals & Pulses,West,Tamil Nadu,Madurai,1878,0.12,450.72
OD91,17/09/2017,Willams,"Eggs, Meat & Fish",Chicken,West,Tamil Nadu,Ooty,769,0.34,46.14
OD92,17/09/2017,Roshan,Beverages,Health Drinks,West,Tamil Nadu,Virudhunagar,1241,0.14,409.53
OD93,31/01/2016,Ravi,Food Grains,Atta & Flour,Central,Tamil Nadu,Madurai,2128,0.14,383.04
OD94,31/01/2016,Ram,Fruits & Veggies,Fresh Fruits,Central,Tamil Nadu,Namakkal,2257,0.33,270.84
OD95,31/01/2016,Mathew,Snacks,Chocolates,Central,Tamil Nadu,Bodi,1285,0.28,218.45
OD96,11/06/2018,Veena,"Eggs, Meat & Fish",Fish,West,Tamil Nadu,Virudhunagar,1230,0.13,442.8
OD97,11/09/2018,Sudha,Food Grains,Atta & Flour,East,Tamil Nadu,Ooty,1856,0.21,723.84
OD98,17/06/2018,Sharon,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Trichy,545,0.31,125.35
OD99,09/06/2017,Vince,Snacks,Chocolates,Central,Tamil Nadu,Dharmapuri,2301,0.28,391.17
OD100,29/08/2017,Krithika,Oil & Masala,Spices,Central,Tamil Nadu,Chennai,1475,0.26,531
OD101,29/08/2017,Adavan,Bakery,Cakes,Central,Tamil Nadu,Coimbatore,2118,0.35,910.74
OD102,29/08/2017,Roshan,Beverages,Soft Drinks,Central,Tamil Nadu,Coimbatore,1527,0.17,671.88
OD103,12/01/2017,Vinne,Snacks,Chocolates,Central,Tamil Nadu,Nagercoil,567,0.18,175.77
OD104,13/11/2016,Amy,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Ramanadhapuram,969,0.27,184.11
OD105,13/11/2016,Suresh,Food Grains,Dals & Pulses,West,Tamil Nadu,Karur,2300,0.14,1035
OD106,13/11/2016,Komal,Oil & Masala,Masalas,West,Tamil Nadu,Kanyakumari,1575,0.33,78.75
OD107,23/11/2018,Sundar,Beverages,Health Drinks,South,Tamil Nadu,Cumbum,540,0.12,108
OD108,23/11/2018,Willams,Snacks,Cookies,South,Tamil Nadu,Tirunelveli,536,0.34,176.88
OD109,23/11/2018,Vidya,"Eggs, Meat & Fish",Eggs,South,Tamil Nadu,Tirunelveli,556,0.21,155.68
OD110,15/10/2016,Shree,Fruits & Veggies,Fresh Fruits,Central,Tamil Nadu,Coimbatore,1179,0.16,271.17
OD111,25/12/2018,Sundar,Food Grains,Dals & Pulses,East,Tamil Nadu,Namakkal,1487,0.12,505.58
OD112,11/03/2017,Arvind,Bakery,Breads & Buns,Central,Tamil Nadu,Pudukottai,2220,0.1,111
OD113,11/03/2017,Ravi,Oil & Masala,Edible Oil & Ghee,Central,Tamil Nadu,Dindigul,2155,0.3,581.85
OD114,25/08/2015,Vinne,Fruits & Veggies,Fresh Vegetables,East,Tamil Nadu,Krishnagiri,1154,0.1,69.24
OD115,25/08/2015,Muneer,Snacks,Noodles,East,Tamil Nadu,Salem,2420,0.11,242
OD116,25/08/2015,Rumaiza,Snacks,Chocolates,East,Tamil Nadu,Karur,1305,0.24,287.1
OD117,25/08/2015,Hussain,Fruits & Veggies,Organic Fruits,East,Tamil Nadu,Bodi,927,0.2,157.59
OD118,03/02/2016,Arvind,Fruits & Veggies,Organic Vegetables,West,Tamil Nadu,Viluppuram,983,0.11,186.77
OD119,04/05/2016,Akash,Food Grains,Rice,South,Tamil Nadu,Chennai,903,0.1,90.3
OD120,06/12/2017,Ganesh,"Eggs, Meat & Fish",Chicken,East,Tamil Nadu,Cumbum,1235,0.12,74.1
OD121,06/12/2017,Alan,Fruits & Veggies,Organic Vegetables,East,Tamil Nadu,Tirunelveli,1243,0.24,174.02
OD122,06/12/2017,Harish,Bakery,Cakes,East,Tamil Nadu,Krishnagiri,649,0.34,201.19
OD123,06/12/2017,Veronica,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Tenkasi,2354,0.11,188.32
OD124,06/12/2017,Anu,Beverages,Soft Drinks,East,Tamil Nadu,Cumbum,1443,0.27,187.59
OD125,26/12/2015,Sudeep,Bakery,Breads & Buns,Central,Tamil Nadu,Madurai,975,0.26,390
OD126,20/09/2015,Yusuf,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Virudhunagar,889,0.19,71.12
OD127,11/05/2018,Shah,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Karur,2352,0.17,870.24
OD128,11/05/2018,Harish,Oil & Masala,Spices,West,Tamil Nadu,Tirunelveli,1293,0.23,336.18
OD129,11/06/2017,Sharon,Food Grains,Rice,West,Tamil Nadu,Bodi,1458,0.29,597.78
OD130,11/06/2017,Peer,Food Grains,Atta & Flour,West,Tamil Nadu,Coimbatore,1801,0.22,126.07
OD131,02/02/2018,Haseena,Snacks,Chocolates,East,Tamil Nadu,Tenkasi,1261,0.29,416.13
OD132,02/02/2018,Sundar,Beverages,Soft Drinks,East,Tamil Nadu,Nagercoil,2112,0.28,105.6
OD133,02/02/2018,Ram,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Ramanadhapuram,640,0.24,140.8
OD134,13/10/2017,Shah,Bakery,Cakes,West,Tamil Nadu,Tenkasi,1658,0.12,315.02
OD135,13/10/2017,Harish,Beverages,Health Drinks,West,Tamil Nadu,Ramanadhapuram,2373,0.18,664.44
OD136,13/10/2017,Veena,Fruits & Veggies,Organic Fruits,West,Tamil Nadu,Cumbum,1430,0.19,514.8
OD137,13/10/2017,Sundar,Oil & Masala,Spices,West,Tamil Nadu,Viluppuram,1873,0.3,674.28
OD138,13/10/2017,Jackson,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Theni,867,0.14,329.46
OD139,13/10/2017,Malik,Snacks,Noodles,West,Tamil Nadu,Theni,1101,0.19,484.44
OD140,13/10/2017,Hussain,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Ooty,1088,0.28,424.32
OD141,09/05/2017,Veena,Bakery,Biscuits,East,Tamil Nadu,Perambalur,866,0.32,381.04
OD142,18/09/2018,Aditi,Oil & Masala,Masalas,West,Tamil Nadu,Tirunelveli,2483,0.14,223.47
OD143,18/09/2018,Surya,Food Grains,Atta & Flour,West,Tamil Nadu,Kanyakumari,1335,0.11,293.7
OD144,18/09/2018,Sharon,"Eggs, Meat & Fish",Fish,West,Tamil Nadu,Tenkasi,765,0.24,252.45
OD145,22/12/2018,Vinne,"Eggs, Meat & Fish",Mutton,Central,Tamil Nadu,Tenkasi,2403,0.2,624.78
OD146,09/07/2016,Malik,Oil & Masala,Edible Oil & Ghee,West,Tamil Nadu,Coimbatore,1551,0.13,573.87
OD147,22/10/2015,Ridhesh,Food Grains,Organic Staples,East,Tamil Nadu,Theni,1564,0.27,187.68
OD148,12/05/2017,Harish,Fruits & Veggies,Fresh Vegetables,Central,Tamil Nadu,Tirunelveli,1125,0.33,292.5
OD149,12/05/2017,Veronica,Beverages,Health Drinks,Central,Tamil Nadu,Tenkasi,768,0.1,184.32
OD150,12/05/2017,Ravi,"Eggs, Meat & Fish",Fish,Central,Tamil Nadu,Vellore,1985,0.26,734.45
OD151,12/05/2017,Muneer,Food Grains,Rice,Central,Tamil Nadu,Bodi,2287,0.13,1029.15
OD152,13/03/2017,Jackson,Snacks,Chocolates,West,Tamil Nadu,Pudukottai,1016,0.34,335.28
OD153,13/03/2017,Amy,Snacks,Cookies,West,Tamil Nadu,Namakkal,852,0.26,76.68
OD154,31/05/2016,Ram,Food Grains,Organic Staples,West,Tamil Nadu,Ramanadhapuram,1233,0.28,234.27
OD155,31/05/2016,Jonas,Snacks,Noodles,West,Tamil Nadu,Pudukottai,2236,0.14,626.08
OD156,31/05/2016,Ramesh,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Viluppuram,2188,0.32,809.56
OD157,28/05/2016,Peer,Snacks,Cookies,West,Tamil Nadu,Coimbatore,1114,0.2,456.74
OD158,03/01/2015,Komal,Oil & Masala,Edible Oil & Ghee,West,Tamil Nadu,Salem,1774,0.15,620.9
OD159,20/11/2017,Amy,Beverages,Soft Drinks,Central,Tamil Nadu,Karur,2364,0.21,1040.16
OD160,20/11/2017,Amrish,Food Grains,Dals & Pulses,Central,Tamil Nadu,Madurai,1487,0.11,148.7
OD161,05/11/2017,Yadav,Beverages,Soft Drinks,West,Tamil Nadu,Ooty,713,0.3,192.51
OD162,28/12/2016,Vinne,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Kanyakumari,737,0.2,280.06
OD163,16/11/2017,Amrish,Snacks,Chocolates,West,Tamil Nadu,Trichy,1004,0.26,341.36
OD164,11/07/2017,Hussain,Snacks,Cookies,West,Tamil Nadu,Theni,1516,0.32,121.28
OD165,09/08/2015,Haseena,Food Grains,Atta & Flour,Central,Tamil Nadu,Ramanadhapuram,1442,0.28,605.64
OD166,09/08/2015,Sudha,Beverages,Health Drinks,Central,Tamil Nadu,Madurai,1690,0.33,422.5
OD167,09/08/2015,Adavan,Snacks,Chocolates,Central,Tamil Nadu,Bodi,2021,0.13,343.57
OD168,09/08/2015,Aditi,"Eggs, Meat & Fish",Mutton,Central,Tamil Nadu,Ooty,2340,0.25,491.4
OD169,09/08/2015,Krithika,Oil & Masala,Spices,Central,Tamil Nadu,Viluppuram,705,0.15,176.25
OD170,09/08/2015,Sharon,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Trichy,1215,0.2,60.75
OD171,09/08/2015,Akash,Food Grains,Dals & Pulses,Central,Tamil Nadu,Krishnagiri,552,0.25,237.36
OD172,08/05/2015,Sabeela,Beverages,Health Drinks,West,Tamil Nadu,Tirunelveli,1412,0.11,564.8
OD173,08/05/2015,Surya,Food Grains,Dals & Pulses,West,Tamil Nadu,Tirunelveli,791,0.32,150.29
OD174,08/05/2015,Alan,Fruits & Veggies,Organic Vegetables,West,Tamil Nadu,Viluppuram,2476,0.33,420.92
OD175,14/09/2015,Aditi,Fruits & Veggies,Fresh Vegetables,Central,Tamil Nadu,Karur,1747,0.27,471.69
OD176,14/09/2015,Shah,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Pudukottai,1973,0.15,848.39
OD177,21/04/2018,Mathew,Oil & Masala,Spices,Central,Tamil Nadu,Krishnagiri,2025,0.24,546.75
OD178,21/11/2016,Rumaiza,Snacks,Noodles,East,Tamil Nadu,Vellore,1016,0.29,223.52
OD179,21/11/2016,Arvind,Fruits & Veggies,Organic Fruits,East,Tamil Nadu,Trichy,689,0.3,55.12
OD180,15/12/2016,Krithika,Food Grains,Atta & Flour,East,Tamil Nadu,Karur,1322,0.16,343.72
OD181,12/05/2015,Arvind,Snacks,Cookies,Central,Tamil Nadu,Bodi,1605,0.25,433.35
OD182,12/05/2015,Ravi,Beverages,Health Drinks,Central,Tamil Nadu,Namakkal,1718,0.2,171.8
OD183,19/11/2015,Jonas,Oil & Masala,Edible Oil & Ghee,South,Tamil Nadu,Madurai,2177,0.35,783.72
OD184,19/11/2015,Surya,Food Grains,Organic Staples,South,Tamil Nadu,Cumbum,578,0.19,236.98
OD185,19/11/2015,Amrish,Food Grains,Dals & Pulses,South,Tamil Nadu,Dindigul,782,0.28,195.5
OD186,28/11/2017,Shah,Snacks,Noodles,East,Tamil Nadu,Chennai,1388,0.35,97.16
OD187,26/08/2015,Krithika,Bakery,Cakes,West,Tamil Nadu,Cumbum,2264,0.21,792.4
OD188,16/07/2017,Anu,Beverages,Soft Drinks,Central,Tamil Nadu,Pudukottai,813,0.16,138.21
OD189,16/07/2017,Yusuf,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Madurai,2015,0.24,564.2
OD190,10/12/2016,Rumaiza,Beverages,Soft Drinks,East,Tamil Nadu,Vellore,1433,0.3,472.89
OD191,10/12/2016,Amrish,Fruits & Veggies,Organic Fruits,East,Tamil Nadu,Chennai,2093,0.11,334.88
OD192,10/12/2016,Muneer,Fruits & Veggies,Fresh Vegetables,East,Tamil Nadu,Chennai,2149,0.17,623.21
OD193,10/12/2016,Anu,Beverages,Health Drinks,East,Tamil Nadu,Dharmapuri,1972,0.32,414.12
OD194,10/12/2016,Suresh,Oil & Masala,Masalas,East,Tamil Nadu,Dharmapuri,2060,0.25,432.6
OD195,31/10/2016,Peer,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Tirunelveli,1175,0.12,340.75
OD196,21/03/2015,Sundar,Oil & Masala,Edible Oil & Ghee,East,Tamil Nadu,Theni,1006,0.25,191.14
OD197,21/03/2015,Sudeep,Bakery,Breads & Buns,East,Tamil Nadu,Karur,1409,0.16,380.43
OD198,11/06/2018,Verma,Food Grains,Organic Staples,East,Tamil Nadu,Pudukottai,914,0.34,338.18
OD199,07/06/2018,Surya,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Tirunelveli,1352,0.3,527.28
OD200,07/06/2018,Sudha,"Eggs, Meat & Fish",Eggs,East,Tamil Nadu,Trichy,682,0.25,170.5
OD201,24/06/2018,James,Food Grains,Organic Staples,East,Tamil Nadu,Tirunelveli,1738,0.22,243.32
OD202,08/03/2015,Vidya,Bakery,Cakes,West,Tamil Nadu,Salem,2421,0.25,484.2
OD203,08/03/2015,Jackson,Food Grains,Organic Staples,West,Tamil Nadu,Ramanadhapuram,2245,0.24,404.1
OD204,17/12/2018,Akash,Oil & Masala,Masalas,Central,Tamil Nadu,Vellore,896,0.12,295.68
OD205,06/03/2018,Ram,Oil & Masala,Spices,South,Tamil Nadu,Virudhunagar,1033,0.3,185.94
OD206,12/09/2018,Vinne,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Madurai,1998,0.29,139.86
OD207,12/01/2018,Verma,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Perambalur,1469,0.15,646.36
OD208,12/01/2018,Haseena,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Ramanadhapuram,1899,0.25,360.81
OD209,12/01/2018,Esther,"Eggs, Meat & Fish",Mutton,Central,Tamil Nadu,Pudukottai,2194,0.2,153.58
OD210,12/01/2018,Amrish,Beverages,Soft Drinks,Central,Tamil Nadu,Vellore,1942,0.29,504.92
OD211,12/01/2018,Hafiz,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Kanyakumari,609,0.3,207.06
OD212,02/09/2016,Verma,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Trichy,2353,0.26,423.54
OD213,01/02/2016,Peer,Beverages,Soft Drinks,East,Tamil Nadu,Salem,1591,0.15,270.47
OD214,01/02/2016,Arutra,Food Grains,Rice,East,Tamil Nadu,Krishnagiri,1353,0.11,527.67
OD215,01/02/2016,Jonas,Beverages,Health Drinks,East,Tamil Nadu,Namakkal,1020,0.21,81.6
OD216,01/02/2016,Harish,Snacks,Noodles,East,Tamil Nadu,Ramanadhapuram,1362,0.31,177.06
OD217,01/02/2016,Sundar,Food Grains,Rice,East,Tamil Nadu,Krishnagiri,1733,0.31,433.25
OD218,28/10/2017,Suresh,Oil & Masala,Masalas,West,Tamil Nadu,Tirunelveli,1949,0.17,97.45
OD219,28/10/2017,Sabeela,Fruits & Veggies,Organic Fruits,West,Tamil Nadu,Virudhunagar,2368,0.34,876.16
OD220,24/12/2016,Arvind,Fruits & Veggies,Fresh Vegetables,East,Tamil Nadu,Pudukottai,2110,0.25,485.3
OD221,24/12/2016,Ramesh,Food Grains,Dals & Pulses,East,Tamil Nadu,Madurai,1940,0.2,795.4
OD222,24/12/2016,Willams,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Vellore,1557,0.2,638.37
OD223,24/12/2016,Ramesh,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Madurai,1443,0.19,274.17
OD224,24/12/2016,Yadav,Beverages,Soft Drinks,East,Tamil Nadu,Perambalur,2024,0.11,910.8
OD225,24/12/2016,Krithika,"Eggs, Meat & Fish",Chicken,East,Tamil Nadu,Viluppuram,2168,0.16,563.68
OD226,08/09/2016,Verma,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Tirunelveli,621,0.24,173.88
OD227,08/09/2016,Komal,Food Grains,Organic Staples,Central,Tamil Nadu,Madurai,1230,0.17,295.2
OD228,08/09/2016,Harish,Snacks,Cookies,Central,Tamil Nadu,Salem,560,0.34,240.8
OD229,28/02/2016,Sudha,Oil & Masala,Edible Oil & Ghee,South,Tamil Nadu,Tenkasi,1286,0.22,282.92
OD230,28/02/2016,Ramesh,Beverages,Health Drinks,South,Tamil Nadu,Tenkasi,1242,0.34,149.04
OD231,13/09/2015,Arvind,Bakery,Breads & Buns,South,Tamil Nadu,Krishnagiri,717,0.21,43.02
OD232,04/07/2018,Komal,Beverages,Soft Drinks,South,Tamil Nadu,Namakkal,1480,0.22,444
OD233,04/07/2018,Komal,Food Grains,Dals & Pulses,South,Tamil Nadu,Salem,826,0.18,247.8
OD234,04/07/2018,Ramesh,Snacks,Cookies,South,Tamil Nadu,Ooty,1846,0.22,276.9
OD235,04/07/2018,Mathew,Beverages,Soft Drinks,South,Tamil Nadu,Viluppuram,2045,0.12,552.15
OD236,04/07/2018,Vince,Fruits & Veggies,Organic Fruits,South,Tamil Nadu,Nagercoil,1983,0.17,773.37
OD237,11/12/2018,Shah,Bakery,Cakes,West,Tamil Nadu,Bodi,650,0.16,247
